isbn,title,author_last_name,author_first_name,page_count,description
454220598-3,The Two Policemen,Raimondo,Snelle,28,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
700143261-X,Hour of the Gun,Patsy,Bunn,41,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante
101337425-8,Angel,Thornie,Copeman,29,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
057228038-6,En rachâchant,Fidel,Lorek,76,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh
576762006-7,Taken,Ricki,Bonnet,60,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
399749888-1,Bad Luck (Zezowate szczescie),Patrice,Bucher,9,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis
731174949-2,"Die Is Cast, The (La suerte está echada)",Etheline,Duchart,33,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
496492613-3,"Time to Love and a Time to Die, A",Fanni,Claus,79,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
560989014-4,Costa Brava,Brit,Litt,97,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
442335187-0,"Boxer, The",Salvador,Breston,94,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis
